comb	times
ญช	2.0
ญซ	0.0
ญญ	155.0
ญฏ	0.0
ญฐ	0.0
ญณ	0.0
ญด	0.0
ญต	0.0
ญถ	0.0
ญท	2.0
ญธ	0.0
ญน	0.0
ญบ	0.0
ญป	0.0
ญผ	0.0
ญฝ	0.0
ญพ	1.0
ญฟ	0.0
ญภ	1.0
ญม	1.0
ญย	0.0
ญร	0.0
ญฤ	0.0
ญล	0.0
ญว	0.0
ญศ	0.0
ญษ	0.0
ญส	0.0
ญห	0.0
ญอ	1.0
ญฮ	0.0
ญะ	0.0
ญั	93.0
ญา	77.0
ญำ	0.0
ญิ	5.0
ญี	0.0
ญึ	0.0
ญื	0.0
ญุ	0.0
ญู	0.0
ญเ	0.0
ญแ	3.0
ญโ	0.0
ญใ	1.0
ญไ	0.0
ญๆ	0.0
ญ็	0.0
ญ่	0.0
ญ้	0.0
ญ๋	0.0
ญ์	0.0
ญ‘	0.0
ญ’	0.0
ญ“	0.0
ญ”	0.0
ฏก	0.0
ฏข	0.0
ฏค	0.0
ฏฆ	0.0
ฏง	0.0
ฏจ	0.0
ฏฉ	0.0
ฏช	0.0
ฏซ	0.0
ฏญ	0.0
ฏฏ	0.0
ฏฐ	0.0
ฏณ	0.0
ฏด	0.0
ฏต	0.0
ฏถ	0.0
ฏท	0.0
ฏธ	0.0
ฏน	0.0
ฏบ	0.0
ฏป	0.0
ฏผ	0.0
ฏฝ	0.0
ฏพ	0.0
ฏฟ	0.0
ฏภ	0.0
ฏม	4.0
ฏย	0.0
ฏร	0.0
ฏฤ	0.0
ฏล	0.0
ฏว	1.0
ฏศ	0.0
ฏษ	0.0
ฏส	0.0
ฏห	0.0
ฏอ	0.0
ฏฮ	0.0
ฏะ	0.0
ฏั	0.0
ฏา	0.0
ฏำ	0.0
ฏิ	1.0
ฏี	0.0
ฏึ	0.0
ฏื	0.0
ฏุ	0.0
ฏู	0.0
ฏเ	0.0
ฏแ	2.0
ฏโ	0.0
ฏใ	1.0
ฏไ	0.0
ฏๆ	0.0
ฏ็	0.0
ฏ่	0.0
ฏ้	0.0
ฏ๋	0.0
ฏ์	0.0
ฏ‘	0.0
ฏ’	1.0
ฏ“	0.0
ฏ”	0.0
ฐก	0.0
ฐข	8.0
ฐค	0.0
ฐฆ	0.0
ฐง	0.0
ฐจ	0.0
ฐฉ	0.0
ฐช	0.0
ฐซ	0.0
ฐญ	0.0
ฐฏ	0.0
ฐฐ	0.0
ฐณ	0.0
ฐด	0.0
ฐต	0.0
ฐถ	0.0
ฐท	0.0
ฐธ	0.0
ฐน	4.0
ฐบ	0.0
ฐป	0.0
ฐผ	0.0
ฐฝ	0.0
ฐพ	0.0
ฐฟ	0.0
ฐภ	0.0
ฐม	0.0
ฐย	0.0
ฐร	0.0
ฐฤ	0.0
ฐล	0.0
ฐว	0.0
ฐศ	0.0
ฐษ	0.0
ฐส	0.0
ฐห	0.0
