comb	times
Tj	0.0
Tk	0.0
Tl	0.0
Tm	0.0
Tn	0.0
To	5.0
Tp	0.0
Tq	0.0
Tr	4.0
Ts	0.0
Tt	0.0
Tu	0.0
Tv	0.0
Tw	0.0
Tx	0.0
Ty	0.0
UA	0.0
UB	0.0
UC	0.0
UD	0.0
UE	0.0
UF	0.0
UG	0.0
UH	0.0
UI	0.0
UJ	0.0
UL	0.0
UM	0.0
UN	0.0
UO	0.0
UP	0.0
UQ	0.0
UR	0.0
US	0.0
UT	0.0
UU	0.0
UW	0.0
UY	0.0
UZ	0.0
U[	0.0
U]	0.0
Ua	0.0
Ub	0.0
Uc	0.0
Ud	0.0
Ue	0.0
Uf	0.0
Ug	0.0
Uh	0.0
Ui	0.0
Uj	0.0
Uk	0.0
Ul	0.0
Um	0.0
Un	0.0
Uo	0.0
Up	0.0
Uq	0.0
Ur	1.0
Us	0.0
Ut	0.0
Uu	0.0
Uv	0.0
Uw	0.0
Ux	0.0
Uy	0.0
WA	0.0
WB	0.0
WC	0.0
WD	0.0
WE	0.0
WF	0.0
WG	0.0
WH	0.0
WI	0.0
WJ	0.0
WL	0.0
WM	0.0
WN	0.0
WO	0.0
WP	0.0
WQ	0.0
WR	0.0
WS	0.0
WT	0.0
WU	0.0
WW	0.0
WY	0.0
WZ	0.0
W[	0.0
W]	0.0
Wa	1.0
Wb	0.0
Wc	0.0
Wd	0.0
We	3.0
Wf	0.0
Wg	0.0
Wh	35.0
Wi	3.0
Wj	0.0
Wk	0.0
Wl	0.0
Wm	0.0
Wn	0.0
Wo	0.0
Wp	0.0
Wq	0.0
Wr	17.0
Ws	0.0
Wt	0.0
Wu	0.0
Wv	0.0
Ww	0.0
Wx	0.0
Wy	0.0
YA	0.0
YB	0.0
YC	0.0
YD	0.0
YE	0.0
YF	0.0
YG	0.0
YH	0.0
YI	0.0
YJ	0.0
YL	0.0
YM	0.0
YN	0.0
YO	0.0
YP	0.0
YQ	0.0
YR	0.0
YS	0.0
YT	0.0
YU	0.0
YW	0.0
YY	0.0
YZ	0.0
Y[	0.0
Y]	0.0
Ya	0.0
Yb	0.0
Yc	0.0
Yd	0.0
Ye	4.0
Yf	0.0
Yg	0.0
Yh	0.0
Yi	0.0
Yj	0.0
Yk	0.0
Yl	0.0
Ym	0.0
Yn	0.0
Yo	9.0
Yp	0.0
Yq	0.0
Yr	0.0
Ys	0.0
Yt	0.0
Yu	0.0
Yv	0.0
Yw	0.0
Yx	0.0
Yy	0.0
ZA	0.0
ZB	0.0
ZC	0.0
ZD	0.0
ZE	0.0
ZF	0.0
ZG	0.0
ZH	0.0
ZI	0.0
ZJ	0.0
ZL	0.0
ZM	0.0
ZN	0.0
ZO	0.0
ZP	0.0
ZQ	0.0
ZR	0.0
ZS	0.0
ZT	0.0
ZU	0.0
ZW	0.0
ZY	0.0
ZZ	0.0
Z[	0.0
Z]	0.0
Za	0.0
Zb	0.0
Zc	0.0
Zd	0.0
Ze	0.0
Zf	0.0
Zg	0.0
Zh	0.0
Zi	2.0
Zj	0.0
Zk	0.0
Zl	0.0
Zm	0.0
Zn	0.0
Zo	0.0
Zp	0.0
Zq	0.0
Zr	0.0
Zs	0.0
Zt	0.0
Zu	0.0
Zv	0.0
Zw	0.0
Zx	0.0
Zy	0.0
[A	0.0
[B	0.0
[C	0.0
[D	0.0
[E	0.0
[F	0.0
[G	0.0
[H	0.0
[I	0.0
[J	0.0
[L	0.0
[M	0.0
[N	0.0
[O	0.0
[P	0.0
[Q	0.0
[R	0.0
[S	0.0
[T	0.0
[U	0.0
[W	0.0
[Y	0.0
[Z	0.0
[[	0.0
[]	1.0
[a	0.0
[b	0.0
[c	0.0
[d	0.0
[e	0.0
[f	0.0
[g	0.0
[h	0.0
[i	0.0
[j	0.0
[k	0.0
[l	0.0
[m	0.0
[n	0.0
[o	0.0
[p	0.0
[q	0.0
[r	0.0
[s	0.0
[t	0.0
[u	0.0
[v	0.0
[w	0.0
[x	0.0
[y	0.0
]A	0.0
]B	0.0
]C	0.0
]D	0.0
]E	0.0
]F	0.0
]G	0.0
]H	0.0
]I	0.0
]J	0.0
]L	0.0
]M	0.0
]N	0.0
]O	0.0
]P	0.0
]Q	0.0
]R	0.0
]S	0.0
]T	0.0
]U	0.0
]W	0.0
]Y	0.0
]Z	0.0
][	0.0
]]	0.0
]a	0.0
]b	0.0
]c	0.0
]d	0.0
]e	0.0
]f	0.0
]g	0.0
]h	0.0
]i	0.0
]j	0.0
]k	0.0
]l	0.0
]m	0.0
]n	0.0
]o	0.0
]p	0.0
]q	0.0
]r	0.0
]s	0.0
]t	0.0
]u	0.0
]v	0.0
]w	0.0
]x	0.0
]y	0.0
aA	0.0
aB	0.0
aC	0.0
aD	0.0
aE	0.0
aF	0.0
aG	0.0
aH	0.0
aI	0.0
aJ	0.0
aL	0.0
aM	0.0
aN	0.0
aO	0.0
aP	0.0
aQ	0.0
aR	0.0
aS	0.0
aT	0.0
aU	0.0
aW	0.0
aY	0.0
aZ	0.0
a[	0.0
a]	0.0
aa	3.0
ab	31.0
ac	92.0
ad	130.0
ae	17.0
af	9.0
ag	59.0
ah	18.0
ai	195.0
aj	0.0
ak	92.0
al	134.0
am	119.0
an	395.0
ao	1.0
ap	13.0
aq	0.0
ar	280.0
as	253.0
at	364.0
au	71.0
av	194.0
aw	94.0
ax	2.0
ay	183.0
bA	0.0
bB	0.0
bC	0.0
bD	0.0
bE	0.0
bF	0.0
bG	0.0
bH	0.0
bI	0.0
bJ	0.0
bL	0.0
bM	0.0
bN	0.0
bO	0.0
bP	0.0
bQ	0.0
bR	0.0
bS	0.0
bT	0.0
bU	0.0
bW	0.0
bY	0.0
bZ	0.0
b[	0.0
b]	0.0
ba	25.0
bb	1.0
bc	0.0
bd	0.0
be	271.0
bf	0.0
bg	0.0
bh	0.0
bi	3.0
bj	0.0
bk	0.0
bl	52.0
bm	0.0
bn	0.0
bo	34.0
bp	0.0
bq	0.0
br	40.0
bs	0.0
bt	9.0
bu	93.0
bv	0.0
bw	0.0
bx	0.0
by	98.0
cA	0.0
cB	0.0
cC	0.0
cD	0.0
cE	0.0
cF	0.0
cG	0.0
cH	0.0
cI	0.0
cJ	0.0
cL	0.0
cM	0.0
cN	0.0
cO	0.0
cP	0.0
cQ	0.0
cR	0.0
cS	0.0
cT	0.0
cU	0.0
cW	0.0
cY	0.0
cZ	0.0
c[	0.0
c]	0.0
ca	86.0
cb	0.0
cc	14.0
cd	0.0
ce	70.0
cf	0.0
cg	0.0
ch	167.0
ci	60.0
cj	0.0
ck	14.0
cl	21.0
cm	0.0
cn	0.0
co	92.0
cp	0.0
cq	0.0
cr	13.0
cs	0.0
ct	34.0
cu	29.0
cv	0.0
cw	0.0
cx	0.0
cy	16.0
dA	0.0
dB	0.0
dC	0.0
dD	0.0
dE	0.0
dF	0.0
dG	0.0
dH	0.0
dI	0.0
dJ	0.0
dL	0.0
dM	0.0
dN	0.0
dO	0.0
dP	0.0
dQ	0.0
dR	0.0
dS	0.0
dT	0.0
dU	0.0
dW	0.0
