comb	times
ΖἙ	0.0
ΖἜ	0.0
ΖἝ	0.0
Ζἠ	0.0
Ζἡ	0.0
Ζἢ	0.0
Ζἣ	0.0
Ζἤ	0.0
Ζἥ	0.0
Ζἦ	0.0
ΖἨ	0.0
ΖἩ	0.0
ΖἪ	0.0
ΖἭ	0.0
Ζἰ	0.0
Ζἱ	0.0
Ζἳ	0.0
Ζἴ	0.0
Ζἵ	0.0
Ζἶ	0.0
Ζἷ	0.0
ΖἸ	0.0
Ζὀ	0.0
Ζὁ	0.0
Ζὃ	0.0
Ζὄ	0.0
Ζὅ	0.0
ΖὈ	0.0
ΖὉ	0.0
ΖὋ	0.0
ΖὍ	0.0
Ζὐ	0.0
Ζὑ	0.0
Ζὓ	0.0
Ζὔ	0.0
Ζὕ	0.0
Ζὖ	0.0
Ζὗ	0.0
ΖὙ	0.0
Ζὠ	0.0
Ζὡ	0.0
Ζὢ	0.0
Ζὥ	0.0
Ζὦ	0.0
Ζὧ	0.0
ΖὩ	0.0
ΖὭ	0.0
ΖὮ	0.0
Ζὰ	0.0
Ζὲ	0.0
Ζὴ	0.0
Ζὶ	0.0
Ζὸ	0.0
Ζὺ	0.0
Ζὼ	0.0
Ζᾔ	0.0
Ζᾖ	0.0
Ζᾗ	0.0
Ζᾧ	0.0
Ζᾳ	0.0
Ζᾶ	0.0
Ζᾷ	0.0
Ζῃ	0.0
Ζῄ	0.0
Ζῆ	0.0
Ζῇ	0.0
Ζῒ	0.0
Ζῖ	0.0
Ζῥ	0.0
Ζῦ	0.0
ΖῬ	0.0
Ζῳ	0.0
Ζῴ	0.0
Ζῶ	1.0
Ζῷ	0.0
Ζ—	0.0
Ζ’	0.0
Ζ⸀	0.0
Ζ⸁	0.0
Ζ⸂	0.0
Ζ⸃	0.0
Κΐ	0.0
ΚΑ	0.0
ΚΒ	0.0
ΚΓ	0.0
ΚΔ	0.0
ΚΕ	0.0
ΚΖ	0.0
ΚΚ	0.0
ΚΛ	0.0
ΚΜ	0.0
ΚΝ	0.0
ΚΟ	0.0
ΚΠ	0.0
ΚΣ	0.0
ΚΤ	0.0
ΚΦ	0.0
ΚΧ	0.0
Κά	0.0
Κέ	0.0
Κή	0.0
Κί	0.0
Κα	5.0
Κβ	0.0
Κγ	0.0
Κδ	0.0
Κε	1.0
Κζ	0.0
Κη	0.0
Κθ	0.0
Κι	0.0
Κκ	0.0
Κλ	0.0
Κμ	0.0
Κν	0.0
Κξ	0.0
Κο	1.0
Κπ	0.0
Κρ	0.0
Κς	0.0
Κσ	0.0
Κτ	0.0
Κυ	0.0
Κφ	0.0
Κχ	0.0
Κψ	0.0
Κω	0.0
Κϊ	0.0
Κϋ	0.0
Κό	0.0
Κύ	2.0
Κώ	0.0
Κἀ	0.0
Κἁ	0.0
Κἂ	0.0
Κἃ	0.0
Κἄ	0.0
Κἅ	0.0
ΚἈ	0.0
ΚἌ	0.0
Κἐ	0.0
Κἑ	0.0
Κἓ	0.0
Κἔ	0.0
Κἕ	0.0
ΚἘ	0.0
ΚἙ	0.0
ΚἜ	0.0
ΚἝ	0.0
Κἠ	0.0
Κἡ	0.0
Κἢ	0.0
Κἣ	0.0
Κἤ	0.0
Κἥ	0.0
Κἦ	0.0
ΚἨ	0.0
ΚἩ	0.0
ΚἪ	0.0
ΚἭ	0.0
Κἰ	0.0
Κἱ	0.0
Κἳ	0.0
Κἴ	0.0
Κἵ	0.0
Κἶ	0.0
Κἷ	0.0
ΚἸ	0.0
Κὀ	0.0
Κὁ	0.0
Κὃ	0.0
Κὄ	0.0
Κὅ	0.0
ΚὈ	0.0
ΚὉ	0.0
ΚὋ	0.0
ΚὍ	0.0
Κὐ	0.0
Κὑ	0.0
Κὓ	0.0
Κὔ	0.0
Κὕ	0.0
Κὖ	0.0
Κὗ	0.0
ΚὙ	0.0
Κὠ	0.0
Κὡ	0.0
Κὢ	0.0
Κὥ	0.0
Κὦ	0.0
Κὧ	0.0
ΚὩ	0.0
ΚὭ	0.0
ΚὮ	0.0
Κὰ	0.0
Κὲ	0.0
Κὴ	0.0
Κὶ	0.0
Κὸ	0.0
Κὺ	0.0
Κὼ	0.0
Κᾔ	0.0
Κᾖ	0.0
Κᾗ	0.0
Κᾧ	0.0
Κᾳ	0.0
Κᾶ	0.0
Κᾷ	0.0
Κῃ	0.0
Κῄ	0.0
Κῆ	0.0
Κῇ	0.0
Κῒ	0.0
Κῖ	0.0
Κῥ	0.0
Κῦ	0.0
ΚῬ	0.0
Κῳ	0.0
Κῴ	0.0
Κῶ	0.0
Κῷ	0.0
Κ—	0.0
Κ’	0.0
Κ⸀	0.0
Κ⸁	0.0
Κ⸂	0.0
Κ⸃	0.0
Λΐ	0.0
ΛΑ	0.0
ΛΒ	0.0
ΛΓ	0.0
ΛΔ	0.0
ΛΕ	0.0
ΛΖ	0.0
ΛΚ	0.0
ΛΛ	0.0
ΛΜ	0.0
ΛΝ	0.0
ΛΟ	0.0
ΛΠ	0.0
ΛΣ	0.0
ΛΤ	0.0
ΛΦ	0.0
ΛΧ	0.0
Λά	0.0
Λέ	3.0
Λή	0.0
Λί	0.0
Λα	0.0
Λβ	0.0
Λγ	0.0
Λδ	0.0
Λε	0.0
Λζ	0.0
Λη	0.0
Λθ	0.0
Λι	0.0
Λκ	0.0
Λλ	0.0
Λμ	0.0
Λν	0.0
Λξ	0.0
Λο	2.0
Λπ	0.0
Λρ	0.0
Λς	0.0
Λσ	0.0
Λτ	0.0
Λυ	0.0
Λφ	0.0
Λχ	0.0
Λψ	0.0
Λω	0.0
Λϊ	0.0
Λϋ	0.0
Λό	0.0
Λύ	0.0
Λώ	0.0
Λἀ	0.0
Λἁ	0.0
Λἂ	0.0
Λἃ	0.0
Λἄ	0.0
Λἅ	0.0
ΛἈ	0.0
ΛἌ	0.0
Λἐ	0.0
Λἑ	0.0
Λἓ	0.0
Λἔ	0.0
Λἕ	0.0
ΛἘ	0.0
ΛἙ	0.0
ΛἜ	0.0
ΛἝ	0.0
Λἠ	0.0
Λἡ	0.0
Λἢ	0.0
Λἣ	0.0
Λἤ	0.0
Λἥ	0.0
Λἦ	0.0
ΛἨ	0.0
ΛἩ	0.0
ΛἪ	0.0
ΛἭ	0.0
Λἰ	0.0
Λἱ	0.0
Λἳ	0.0
Λἴ	0.0
Λἵ	0.0
Λἶ	0.0
Λἷ	0.0
ΛἸ	0.0
Λὀ	0.0
Λὁ	0.0
Λὃ	0.0
Λὄ	0.0
Λὅ	0.0
ΛὈ	0.0
ΛὉ	0.0
ΛὋ	0.0
ΛὍ	0.0
Λὐ	0.0
Λὑ	0.0
Λὓ	0.0
Λὔ	0.0
Λὕ	0.0
Λὖ	0.0
Λὗ	0.0
ΛὙ	0.0
Λὠ	0.0
Λὡ	0.0
Λὢ	0.0
Λὥ	0.0
Λὦ	0.0
Λὧ	0.0
ΛὩ	0.0
ΛὭ	0.0
ΛὮ	0.0
Λὰ	0.0
Λὲ	0.0
Λὴ	0.0
Λὶ	0.0
Λὸ	0.0
Λὺ	0.0
Λὼ	0.0
Λᾔ	0.0
Λᾖ	0.0
Λᾗ	0.0
Λᾧ	0.0
Λᾳ	0.0
Λᾶ	0.0
Λᾷ	0.0
Λῃ	0.0
Λῄ	0.0
Λῆ	0.0
Λῇ	0.0
Λῒ	0.0
Λῖ	0.0
Λῥ	0.0
Λῦ	0.0
ΛῬ	0.0
Λῳ	0.0
Λῴ	0.0
Λῶ	0.0
Λῷ	0.0
Λ—	0.0
Λ’	0.0
Λ⸀	0.0
Λ⸁	0.0
Λ⸂	0.0
Λ⸃	0.0
Μΐ	0.0
ΜΑ	0.0
ΜΒ	0.0
ΜΓ	0.0
ΜΔ	0.0
ΜΕ	0.0
ΜΖ	0.0
ΜΚ	0.0
ΜΛ	0.0
ΜΜ	0.0
ΜΝ	0.0
ΜΟ	0.0
ΜΠ	0.0
ΜΣ	0.0
ΜΤ	0.0
ΜΦ	0.0
ΜΧ	0.0
Μά	0.0
Μέ	0.0
Μή	0.0
Μί	0.0
Μα	3.0
Μβ	0.0
Μγ	0.0
Μδ	0.0
Με	0.0
Μζ	0.0
Μη	2.0
Μθ	0.0
Μι	0.0
Μκ	0.0
Μλ	0.0
Μμ	0.0
Μν	0.0
Μξ	0.0
Μο	0.0
Μπ	0.0
Μρ	0.0
Μς	0.0
Μσ	0.0
Μτ	0.0
Μυ	0.0
Μφ	0.0
Μχ	0.0
Μψ	0.0
Μω	4.0
Μϊ	0.0
Μϋ	0.0
Μό	0.0
Μύ	0.0
Μώ	0.0
Μἀ	0.0
Μἁ	0.0
Μἂ	0.0
Μἃ	0.0
Μἄ	0.0
Μἅ	0.0
ΜἈ	0.0
ΜἌ	0.0
Μἐ	0.0
Μἑ	0.0
Μἓ	0.0
Μἔ	0.0
Μἕ	0.0
ΜἘ	0.0
